"Bush-1","Bush-2","Obama-1","Obama-2","Trump","Biden","Glove"
"assessment","analyses","analyses","analyses","analyses","analyses","analyses"
"results","assessment","results","results","assessment","results","study"
"analyses","results","based","assessment","results","estimates","data"
"data","impact","impact","based","based","based","studies"
"economic","estimates","presented","impact","estimates","final","analyzed"
"final","economic","assessment","estimates","final","discussed","methodology"
"estimates","based","estimates","discussed","impact","impact","assessment"
"evaluation","final","discussed","evaluation","print","assessment","analyzing"
"based","data","final","final","evaluation","page","suggests"
"concluded","discussed","economic","therefore","page","print","research"
"response","included","evaluation","also","therefore","therefore","theory"
"impact","evaluation","however","included","discussed","addition","evaluation"
"estimate","also","impacts","determined","addition","also","findings"
"therefore","addition","described","addition","also","estimate","detailed"
"addition","however","also","presented","epa","included","analytical"
"however","therefore","addition","page","however","however","methods"
"included","estimate","determined","however","included","review","statistical"
"discussion","rule","considered","print","economic","baseline","measurement"
"also","described","estimate","regulatory","modeling","considered","calculation"
"page","epa","included","described","used","rulemaking","measurements"
