"Bush-1","Bush-2","Obama-1","Obama-2","Trump","Biden","Glove"
"available","used","used","using","using","information","information"
"using","using","results","report","information","using","database"
"results","based","using","available","available","available","analysis"
"indicate","available","based","results","used","report","statistics"
"used","results","report","used","report","results","computer"
"based","indicate","available","based","based","used","tracking"
"analysis","addition","addition","reported","page","based","databases"
"use","however","reports","reporting","results","included","survey"
"however","included","reported","addition","included","page","software"
"response","current","page","print","addition","reporting","analyzing"
"addition","provided","print","page","print","reports","measurements"
"also","report","response","reports","use","use","reports"
"provide","reports","also","also","well","reported","analyzed"
"page","reported","use","use","reports","print","research"
"provided","response","rather","provided","also","example","provided"
"estimates","also","included","included","reported","however","applications"
"example","analysis","however","however","provided","also","surveys"
"printed","use","include","rather","however","updated","evidence"
"including","indicated","reporting","example","include","include","numbers"
"current","show","provided","one","current","addition","files"
